factura_id,sucursal_id,ciudad_id,cliente_id,genero_id,linea_de_producto_id,metodo_de_pago_id,precio_unitario,cantidad,tax,total,fechas,costos_directos,ingreso_bruto,calificacion
733-01-9107,2,1,2,1,5,1,82.7,6,24.81,521.01,2019-5-3 18:14:00,496.2,24.81,7.4
163-56-7055,3,2,1,1,2,1,48.71,1,24.355,511.455,2019-3-26 19:20:00,48.71,24.355,4.1
189-98-2939,3,2,2,1,2,1,78.55,9,353.475,7422.975,2019-1-3 13:22:00,706.95,353.475,7.2
551-21-3069,3,2,2,2,1,1,23.07,9,103.815,2180.115,2019-1-2 11:27:00,207.63,103.815,4.9
212-62-1842,1,3,2,1,3,1,58.26,6,17.478,367.038,2019-3-28 16:44:00,349.56,17.478,9.9
716-39-1409,2,1,2,1,4,1,30.35,7,106.225,2230.725,2019-3-19 18:19:00,212.45,106.225,8.0
704-48-3927,1,3,1,1,1,3,88.67,10,44.335,931.035,2019-12-1 14:50:00,886.7,44.335,7.3
628-34-3388,3,2,2,1,2,2,27.38,6,8.214,172.494,2019-5-1 20:54:00,164.28,8.214,7.9
630-74-5166,1,3,2,1,6,1,62.13,6,18.639,391.419,2019-3-22 20:19:00,372.78,18.639,7.4
588-01-7461,3,2,2,2,3,1,33.98,9,15.291,321.111,2019-3-24 10:43:00,305.82,15.291,4.2
861-77-0145,3,2,1,1,1,1,81.97,10,40.985,860.685,2019-3-3 14:30:00,819.7,40.985,9.2
479-26-8945,2,1,1,2,6,3,16.49,2,1.649,34.629,2019-5-2 11:32:00,32.98,1.649,4.6
210-67-5886,3,2,1,2,4,2,98.21,3,147.315,3093.615,2019-5-2 10:41:00,294.63,147.315,7.8
227-78-1148,2,1,2,2,2,1,72.84,7,25.494,535.374,2019-2-15 12:44:00,509.88,25.494,8.4
645-44-1170,1,3,1,1,5,3,58.07,9,261.315,5487.615,2019-1-19 20:07:00,522.63,261.315,4.3
237-01-6122,3,2,1,2,5,2,80.79,9,363.555,7634.655,2019-1-2 20:31:00,727.11,363.555,9.5
225-98-1496,3,2,2,2,2,2,27.02,3,4.053,85.113,2019-2-3 13:01:00,81.06,4.053,7.1
291-32-1427,2,1,1,1,2,3,21.94,5,5.485,115.185,2019-5-3 12:29:00,109.7,5.485,5.3
659-65-8956,2,1,1,1,2,3,51.36,1,2.568,53.928,2019-1-16 15:26:00,51.36,2.568,5.2
642-32-2990,1,3,2,2,3,3,10.96,10,5.48,115.08,2019-2-2 20:48:00,109.6,5.48,6.0
378-24-2715,2,1,2,1,5,3,53.44,2,5.344,112.224,2019-1-20 20:38:00,106.88,5.344,4.1
638-60-7125,1,3,2,2,1,2,99.56,8,39.824,836.304,2019-2-14 17:03:00,796.48,39.824,5.2
659-36-1684,3,2,1,1,6,2,57.12,7,19.992,419.832,2019-12-1 12:02:00,399.84,19.992,6.5
219-22-9386,2,1,1,1,6,2,99.96,9,44.982,944.622,2019-9-3 17:26:00,899.64,44.982,4.2
336-78-2147,3,2,1,1,5,2,63.91,8,25.564,536.844,2019-3-13 19:52:00,511.28,25.564,4.6
268-27-6179,2,1,1,2,2,3,56.47,8,22.588,474.348,2019-9-3 14:57:00,451.76,22.588,7.3
668-90-8900,1,3,2,2,5,2,93.69,7,327.915,6886.215,2019-10-3 18:44:00,655.83,327.915,4.5
870-54-3162,1,3,2,2,6,1,32.25,5,80.625,1693.125,2019-1-27 13:26:00,161.25,80.625,9.0
189-08-9157,3,2,2,2,2,2,31.73,9,142.785,2998.485,2019-8-1 16:17:00,285.57,142.785,5.9
663-86-9076,3,2,1,2,3,3,68.54,8,27.416,575.736,2019-8-1 15:57:00,548.32,27.416,8.5
549-84-7482,2,1,2,2,6,3,90.28,9,40.626,853.146,2019-8-2 11:15:00,812.52,40.626,7.2
191-10-6171,2,1,2,2,2,1,39.62,7,13.867,291.207,2019-1-25 13:18:00,277.34,13.867,7.5
802-70-5316,1,3,1,2,6,1,92.13,6,27.639,580.419,2019-6-3 20:34:00,552.78,27.639,8.3
695-51-0018,2,1,2,2,6,1,34.84,4,6.968,146.328,2019-10-2 18:36:00,139.36,6.968,7.4
590-83-4591,2,1,1,1,1,2,87.45,6,26.235,550.935,2019-2-17 14:40:00,524.7,26.235,8.8
483-71-1164,3,2,2,2,4,3,81.3,6,24.39,512.19,2019-8-3 16:43:00,487.8,24.39,5.3
597-78-7908,3,2,2,1,2,1,90.22,3,13.533,284.193,2019-2-18 19:39:00,270.66,13.533,6.2
700-81-1757,1,3,2,2,1,2,26.31,5,65.775,1381.275,2019-1-18 20:59:00,131.55,65.775,8.8
354-39-5160,1,3,1,2,5,1,34.42,6,10.326,216.846,2019-2-18 15:39:00,206.52,10.326,9.8
241-72-9525,2,1,2,1,6,1,51.91,10,25.955,545.055,2019-2-16 12:21:00,519.1,25.955,8.2
575-30-8091,1,3,2,1,6,3,72.5,8,29.0,609,2019-3-16 19:25:00,580.0,29.0,9.2
731-81-9469,3,2,1,2,6,2,89.8,10,44.9,942.9,2019-1-23 13:00:00,898.0,44.9,5.4
280-17-4359,3,2,1,1,4,1,90.5,10,45.25,950.25,2019-1-25 13:48:00,905.0,45.25,8.1
338-65-2210,3,2,1,2,4,1,68.6,10,34.3,720.3,2019-5-2 19:57:00,686.0,34.3,9.1
488-25-4221,3,2,1,2,3,2,30.41,1,15.205,319.305,2019-2-22 10:36:00,30.41,15.205,8.4
239-10-7476,1,3,2,2,5,3,77.95,6,23.385,491.085,2019-1-21 16:37:00,467.7,23.385,8.0
458-41-1477,3,2,2,2,4,2,46.26,6,13.878,291.438,2019-8-3 17:11:00,277.56,13.878,9.5
685-64-1609,1,3,1,2,2,3,30.14,10,15.07,316.47,2019-10-2 12:28:00,301.4,15.07,9.2
568-90-5112,3,2,2,1,4,2,66.14,4,13.228,277.788,2019-3-19 12:46:00,264.56,13.228,5.6
262-47-2794,2,1,1,1,5,2,71.86,8,28.744,603.624,2019-6-3 15:07:00,574.88,28.744,6.2
238-49-0436,1,3,2,1,4,2,32.46,8,12.984,272.664,2019-3-27 13:48:00,259.68,12.984,4.9
608-96-3517,2,1,1,2,2,2,91.54,4,18.308,384.468,2019-3-23 19:20:00,366.16,18.308,4.8
584-86-7256,3,2,1,1,6,2,34.56,7,12.096,254.016,2019-11-3 16:07:00,241.92,12.096,7.3
746-94-0204,1,3,2,1,2,2,83.24,9,37.458,786.618,2019-1-29 11:56:00,749.16,37.458,7.4
214-17-6927,3,2,2,2,3,3,16.48,6,4.944,103.824,2019-7-2 18:23:00,98.88,4.944,9.9
400-89-4171,3,2,2,2,6,1,80.97,8,32.388,680.148,2019-1-28 13:05:00,647.76,32.388,9.3
782-95-9291,1,3,1,1,3,2,92.29,5,230.725,4845.225,2019-2-20 15:55:00,461.45,230.725,9.0
279-74-2924,2,1,1,1,1,1,72.17,1,36.085,757.785,2019-4-1 19:40:00,72.17,36.085,6.1
307-85-2293,2,1,2,1,5,3,50.28,5,12.57,263.97,2019-7-3 13:58:00,251.4,12.57,9.7
743-04-1105,2,1,1,1,4,3,97.22,9,43.749,918.729,2019-3-30 14:43:00,874.98,43.749,6.0
423-57-2993,2,1,2,1,6,3,93.39,6,28.017,588.357,2019-3-27 19:18:00,560.34,28.017,10.0
894-41-5205,3,2,2,2,3,2,43.18,8,17.272,362.712,2019-1-19 19:39:00,345.44,17.272,8.3
275-28-0149,1,3,2,1,6,1,63.69,1,31.845,668.745,2019-2-25 16:21:00,63.69,31.845,6.0
101-17-6199,1,3,2,1,3,2,45.79,7,160.265,3365.565,2019-3-13 19:44:00,320.53,160.265,7.0
423-80-0988,3,2,2,1,6,3,76.4,2,7.64,160.44,2019-1-30 19:42:00,152.8,7.64,6.5
548-46-9322,2,1,2,1,3,2,39.9,10,19.95,418.95,2019-2-20 15:24:00,399.0,19.95,5.9
505-02-0892,2,1,1,1,4,3,42.57,8,17.028,357.588,2019-2-25 14:12:00,340.56,17.028,5.6
234-65-2137,3,2,2,1,5,1,95.58,10,47.79,1003.59,2019-1-16 13:32:00,955.8,47.79,4.8
687-47-8271,1,3,2,1,2,2,98.98,10,49.49,1039.29,2019-8-2 16:20:00,989.8,49.49,8.7
796-32-9050,1,3,2,1,3,1,51.28,6,15.384,323.064,2019-1-19 16:31:00,307.68,15.384,6.5
105-31-1824,1,3,1,1,6,2,69.52,7,24.332,510.972,2019-1-2 15:10:00,486.64,24.332,8.5
249-42-3782,1,3,2,1,4,3,70.01,5,175.025,3675.525,2019-3-1 11:36:00,350.05,175.025,5.5
316-55-4634,2,1,1,1,3,2,80.05,5,200.125,4202.625,2019-1-26 12:45:00,400.25,200.125,9.4
733-33-4967,3,2,2,1,1,1,20.85,8,8.34,175.14,2019-3-3 19:17:00,166.8,8.34,6.3
608-27-6295,2,1,1,1,1,2,52.89,6,15.867,333.207,2019-1-19 17:34:00,317.34,15.867,9.8
414-12-7047,2,1,2,1,3,3,19.79,8,7.916,166.236,2019-1-18 12:04:00,158.32,7.916,8.7
827-26-2100,1,3,1,1,5,3,33.84,9,15.228,319.788,2019-3-21 16:21:00,304.56,15.228,8.8
175-54-2529,1,3,1,1,3,2,22.17,8,8.868,186.228,2019-3-3 17:01:00,177.36,8.868,9.6
139-52-2867,3,2,2,2,2,2,22.51,7,78.785,1654.485,2019-2-13 10:50:00,157.57,78.785,4.8
407-63-8975,1,3,2,1,3,3,73.88,6,22.164,465.444,2019-3-23 19:16:00,443.28,22.164,4.4
342-65-4817,3,2,1,1,4,3,86.8,3,13.02,273.42,2019-1-28 16:47:00,260.4,13.02,9.9
130-98-8941,3,2,2,1,2,1,64.26,7,22.491,472.311,2019-9-2 10:00:00,449.82,22.491,5.7
434-83-9547,3,2,1,1,3,1,38.47,8,15.388,323.148,2019-1-23 11:51:00,307.76,15.388,7.7
851-28-6367,1,3,1,1,6,3,15.5,10,7.75,162.75,2019-3-23 10:55:00,155.0,7.75,8.0
824-88-3614,3,2,2,1,4,3,34.31,8,13.724,288.204,2019-1-25 15:00:00,274.48,13.724,5.7
586-25-0848,1,3,2,2,6,2,12.34,7,4.319,90.699,2019-4-3 11:19:00,86.38,4.319,6.7
895-66-0685,2,1,1,1,3,3,18.08,3,2.712,56.952,2019-5-3 19:46:00,54.24,2.712,8.0
305-14-0245,2,1,1,2,5,3,94.49,8,37.796,793.716,2019-3-3 19:00:00,755.92,37.796,7.5
732-04-5373,2,1,1,1,5,1,46.47,4,9.294,195.174,2019-8-2 10:53:00,185.88,9.294,7.0
400-60-7251,1,3,2,1,5,3,74.07,1,37.035,777.735,2019-10-2 12:50:00,74.07,37.035,9.9
593-65-1552,3,2,2,2,5,2,69.81,4,13.962,293.202,2019-1-28 20:50:00,279.24,13.962,5.9
284-34-9626,2,1,2,2,5,2,77.04,3,11.556,242.676,2019-11-2 10:39:00,231.12,11.556,7.2
437-58-8131,2,1,2,2,2,3,73.52,2,7.352,154.392,2019-1-15 13:41:00,147.04,7.352,4.6
286-43-6208,3,2,2,2,3,1,87.8,9,39.51,829.71,2019-3-16 19:08:00,790.2,39.51,9.2
641-43-2399,2,1,2,1,5,3,25.55,4,5.11,107.31,2019-1-26 20:23:00,102.2,5.11,5.7
831-07-6050,1,3,2,1,1,2,32.71,5,81.775,1717.275,2019-3-19 11:30:00,163.55,81.775,9.9
556-86-3144,3,2,1,2,2,1,74.29,1,37.145,780.045,2019-1-13 19:30:00,74.29,37.145,5.0
848-24-9445,3,2,1,1,4,1,43.7,2,4.37,91.77,2019-3-26 18:03:00,87.4,4.37,4.9
856-22-8149,1,3,2,2,5,3,25.29,1,12.645,265.545,2019-3-23 10:13:00,25.29,12.645,6.1
699-01-4164,3,2,2,1,4,2,41.5,4,8.3,174.3,2019-12-3 19:58:00,166.0,8.3,8.2
420-11-4919,3,2,1,2,3,2,71.39,5,178.475,3747.975,2019-2-17 19:57:00,356.95,178.475,5.5
606-80-4905,3,2,1,2,6,2,19.15,6,5.745,120.645,2019-1-29 10:01:00,114.9,5.745,6.8
542-41-0513,2,1,1,2,1,1,57.49,4,11.498,241.458,2019-3-15 11:57:00,229.96,11.498,6.6
426-39-2418,3,2,2,1,1,1,61.41,7,214.935,4513.635,2019-1-14 10:02:00,429.87,214.935,9.8
875-46-5808,2,1,1,1,4,3,25.9,10,12.95,271.95,2019-6-2 14:51:00,259.0,12.95,8.7
394-43-4238,2,1,1,1,5,2,17.77,5,44.425,932.925,2019-2-15 12:42:00,88.85,44.425,5.4
749-24-1565,1,3,2,2,4,3,23.03,9,103.635,2176.335,2019-3-1 12:02:00,207.27,103.635,7.9
672-51-8681,3,2,1,2,1,2,66.65,9,299.925,6298.425,2019-4-1 18:19:00,599.85,299.925,9.7
263-87-5680,3,2,1,2,5,3,28.53,10,14.265,299.565,2019-3-18 17:38:00,285.3,14.265,7.8
573-58-9734,2,1,2,2,2,3,30.37,3,45.555,956.655,2019-3-28 13:41:00,91.11,45.555,5.1
817-69-8206,2,1,2,2,1,2,99.73,9,448.785,9424.485,2019-2-3 19:42:00,897.57,448.785,6.5
888-02-0338,1,3,2,1,1,3,26.23,9,118.035,2478.735,2019-1-25 20:24:00,236.07,118.035,5.9
677-11-0152,3,2,2,2,3,1,93.26,9,41.967,881.307,2019-1-16 18:08:00,839.34,41.967,8.8
142-63-6033,2,1,2,1,5,3,92.36,5,23.09,484.89,2019-3-20 19:17:00,461.8,23.09,4.9
656-16-1063,2,1,2,1,6,2,46.42,3,6.963,146.223,2019-4-1 13:24:00,139.26,6.963,4.4
891-58-8335,2,1,1,2,6,1,29.61,7,103.635,2176.335,2019-11-3 15:53:00,207.27,103.635,6.5
802-43-8934,1,3,2,1,5,2,18.28,1,0.914,19.194,2019-3-22 15:05:00,18.28,0.914,8.3
560-30-5617,2,1,2,2,6,1,24.77,5,61.925,1300.425,2019-3-24 18:27:00,123.85,61.925,8.5
319-74-2561,1,3,1,2,1,1,94.64,3,14.196,298.116,2019-2-21 16:55:00,283.92,14.196,5.5
549-03-9315,2,1,2,1,2,3,94.87,8,37.948,796.908,2019-12-2 12:58:00,758.96,37.948,8.7
790-29-1172,2,1,2,2,3,2,57.34,3,8.601,180.621,2019-10-3 18:59:00,172.02,8.601,7.9
239-36-3640,2,1,2,1,1,3,45.35,6,13.605,285.705,2019-1-31 13:44:00,272.1,13.605,6.1
468-01-2051,2,1,2,1,3,3,62.08,7,21.728,456.288,2019-6-3 13:46:00,434.56,21.728,5.4
389-25-3394,3,2,2,1,1,1,11.81,5,29.525,620.025,2019-2-17 18:06:00,59.05,29.525,9.4
279-62-1445,3,2,1,2,2,1,12.54,1,0.627,13.167,2019-2-21 12:38:00,12.54,0.627,8.2
213-72-6612,1,3,2,1,3,1,43.25,2,4.325,90.825,2019-3-20 15:56:00,86.5,4.325,6.2
746-68-6593,3,2,1,2,6,2,87.16,2,8.716,183.036,2019-11-1 14:29:00,174.32,8.716,9.7
836-82-5858,2,1,1,1,4,3,69.37,9,312.165,6555.465,2019-1-26 19:14:00,624.33,312.165,4.0
583-72-1480,3,2,1,1,1,3,37.06,4,7.412,155.652,2019-1-31 16:24:00,148.24,7.412,9.7
466-61-5506,2,1,1,2,1,1,90.7,6,27.21,571.41,2019-2-26 10:52:00,544.2,27.21,5.3
721-86-6247,1,3,2,2,5,3,63.42,8,25.368,532.728,2019-11-3 12:55:00,507.36,25.368,7.4
289-65-5721,2,1,2,2,2,1,81.37,2,8.137,170.877,2019-1-26 19:28:00,162.74,8.137,6.5
545-46-3100,2,1,1,2,1,2,10.59,3,15.885,333.585,2019-12-3 13:52:00,31.77,15.885,8.7
418-02-5978,2,1,2,2,4,1,84.09,9,378.405,7946.505,2019-11-2 10:54:00,756.81,378.405,8.0
269-04-5750,2,1,1,1,2,1,73.82,4,14.764,310.044,2019-2-21 18:31:00,295.28,14.764,6.7
157-13-5295,1,3,1,1,4,3,51.94,10,25.97,545.37,2019-9-3 18:24:00,519.4,25.97,6.5
645-78-8093,1,3,2,2,6,3,93.14,2,9.314,195.594,2019-1-20 18:09:00,186.28,9.314,4.1
211-30-9270,3,2,2,1,4,2,17.41,5,43.525,914.025,2019-1-28 15:16:00,87.05,43.525,4.9
